customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C0122,Female,0,No,No,30,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,94.14,3112.173022444146,Yes
C0123,Male,0,No,Yes,19,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,118.75,1992.9694341721538,No
C0124,Male,1,Yes,Yes,6,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),99.29,723.5091614235301,No
C0125,Male,0,Yes,No,7,Yes,Yes,DSL,No,No,No,No,No,Yes,One year,Yes,Mailed check,118.75,923.070580391893,No
C0126,Male,0,No,Yes,11,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,81.22,894.5850462912059,No
C0127,Female,0,Yes,Yes,3,Yes,No,DSL,No,No,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),106.8,202.39695192460186,No
C0128,Female,0,No,No,9,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),82.92,685.1473912899569,Yes
C0129,Male,1,Yes,Yes,27,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,23.3,746.6616266130582,No
C0130,Female,0,Yes,No,42,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,101.11,4206.917331586375,No
C0131,Male,0,Yes,No,9,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),43.54,260.6636524978154,No
C0132,Male,0,Yes,Yes,6,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,23.08,285.5765399830808,Yes
C0133,Male,0,Yes,No,42,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),55.1,2335.740615349575,No
C0134,Male,1,Yes,No,53,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,77.61,4449.787334797994,No
C0135,Female,0,No,No,12,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,48.76,504.8274564627137,No
C0136,Male,0,No,No,1,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,Yes,Electronic check,99.94,298.8738155745804,No
C0137,Female,0,Yes,No,28,No,No phone service,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),38.54,1112.2550117280748,Yes
C0138,Female,0,Yes,Yes,36,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,One year,No,Credit card (automatic),77.61,2949.040594240794,Yes
C0139,Male,0,No,No,1,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Mailed check,61.17,61.171367196617354,No
C0140,Female,0,No,No,21,Yes,No,DSL,No,Yes,No,No,No,No,Two year,Yes,Mailed check,61.54,1173.2795235167246,No
C0141,Female,0,Yes,No,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,79.47,1939.6267502892279,No
C0142,Male,0,Yes,No,11,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),89.82,1054.3211116698465,Yes
C0143,Male,1,Yes,Yes,33,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Two year,No,Electronic check,73.79,2438.7527591955063,No
C0144,Male,0,Yes,No,13,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),91.8,930.8632949723219,No
C0145,Male,0,Yes,No,27,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),77.65,1986.4340229604848,Yes
C0146,Male,0,No,No,17,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,118.75,1827.1305406472354,Yes
C0147,Female,0,Yes,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),18.25,214.75567505598332,No
C0148,Female,0,No,No,22,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,18.25,464.14405372694904,No
C0149,Male,0,No,No,32,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Electronic check,78.48,2599.8782957929366,No
C0150,Male,0,No,Yes,72,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),22.81,1759.712511258933,No
C0151,Female,0,No,Yes,11,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.02,882.31325976129,Yes
C0152,Male,0,Yes,Yes,1,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),72.09,321.7484284827293,Yes
C0153,Male,0,Yes,No,72,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,18.25,1302.8654727376922,Yes
C0154,Male,0,Yes,No,23,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,78.62,1869.819895060779,No
C0155,Female,0,No,No,70,Yes,No,DSL,Yes,No,No,No,No,No,Two year,Yes,Credit card (automatic),84.41,5978.132219099939,No
C0156,Male,1,No,Yes,2,Yes,No,DSL,No,Yes,No,No,No,Yes,One year,No,Bank transfer (automatic),49.74,236.12154796755843,No
C0157,Female,1,No,No,10,Yes,No,DSL,Yes,Yes,No,No,Yes,No,One year,No,Bank transfer (automatic),105.25,1161.0924335945156,No
C0158,Female,0,Yes,No,3,Yes,No,DSL,No,No,Yes,No,No,No,One year,Yes,Electronic check,18.38,65.61067250756365,No
C0159,Male,0,No,No,43,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,56.22,2212.44550013206,No
C0160,Female,0,Yes,Yes,50,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),90.7,4403.952933566122,Yes
C0161,Male,0,Yes,Yes,16,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Electronic check,93.09,1471.2658899569117,No
C0162,Female,1,No,No,4,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),83.91,339.3282582700207,Yes
C0163,Female,0,Yes,No,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,55.12,218.87681533727294,No
C0164,Female,0,No,No,21,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,No,Electronic check,18.25,331.63704964992013,No
C0165,Male,0,Yes,Yes,16,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,40.93,897.3963998901548,Yes
C0166,Female,0,No,No,28,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,83.54,2375.7716710433174,Yes
C0167,Male,0,Yes,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),104.02,431.55917869267427,No
C0168,Male,0,No,No,12,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),98.65,1122.4262529348812,Yes
C0169,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,111.91,111.90580205109637,Yes
C0170,Female,0,No,No,22,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,No,Electronic check,118.75,2673.9453973390714,No
C0171,Female,0,Yes,No,13,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),67.01,876.6465246295757,Yes
C0172,Male,0,No,No,60,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),72.34,4381.5195746095205,No
C0173,Female,0,Yes,No,24,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,52.25,1506.9214905509193,No
C0174,Male,0,Yes,No,12,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,One year,Yes,Electronic check,45.24,605.5883945855213,No
C0175,Female,0,Yes,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,38.43,938.7408376714596,No
C0176,Male,1,No,Yes,56,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),44.67,2690.7128602452635,Yes
